OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
6/28/2024	Garden	4	Plant	Blue mistflower	Conoclinium coelestinum	Blooming	
6/28/2024	Garden	5	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
6/28/2024	Garden	5	Plant	Autumn sage	Salvia greggii	Some blossoms	
6/28/2024	Garden	5	Plant	Apache plume	Fallugia paradoxa	Blooming	
6/28/2024	Garden	6	Plant	Frogfruit	Phyla nodiflora	Blooming	
6/28/2024	Garden	6	Plant	Lindheimer muhly	Muhlenbergia lindheimeri	Fully green	
6/28/2024	Garden	6	Plant	American beautyberry	Callicarpa americana	Blossoms/berries forming	
6/28/2024	Garden	7	Plant	Snakeherb	Dyschoriste linearis	Some blossoms	
6/28/2024	Garden	7	Plant	Pink guara	Oenothera lindheimeri	Blooming	
6/28/2024	Garden	7	Plant	White mistflower	Ageratina havanensis	Fully green	
6/28/2024	Garden	8	Plant	Gregg dalea	Dalea greggii	Blooming	
6/28/2024	Garden	8	Plant	Zexmenia	Wedelia texana	Some blossoms	
6/28/2024	Garden	8	Plant	Red yucca	Hesperaloe parviflora	Blooming	
6/28/2024	Garden	9	Plant	Mountain pea	Sophora secundiflora	Some blossoms	
6/28/2024	Garden	9	Plant	Butterfly weed	Asclepias tuberosa	Blooming	
6/28/2024	Garden	9	Plant	Gulf muhly	Muhlenbergia capillaris	Fully green	
6/28/2024	Garden	10	Plant	Silver ponyfoot	Dichondra argentea	Fully green/silver	
6/28/2024	Garden	10	Plant	Dwarf Barbados Cherry	Malpighia emarginata	Fully green	
6/28/2024	Garden	10	Plant	Buttonbush	Cephalanthus occidentalis	Blooming	
6/28/2024	Garden	11	Plant	Frogfruit	Phyla nodiflora	Blooming	
6/28/2024	Garden	11	Plant	Texas lantana	Lantana urticoides	Blooming	
6/28/2024	Garden	11	Plant	Globe mallow	Sphaeralcea ambigua	Fully green	
6/28/2024	Garden	12	Plant	Lyreleaf sage	Salvia lyrata	Spent blossoms	
6/28/2024	Garden	12	Plant	Engelmann daisy	Engelmannia peristenia	Blooming	
6/28/2024	Garden	12	Plant	Obedient plant	Physostegia virginiana	Fully green	
6/28/2024	Garden	13	Plant	Horseherb	Calyptocarpus vialis	Fully green	
6/28/2024	Garden	13	Plant	Gayfeather	Liatris mucronata	Fully green	
6/28/2024	Garden	13	Plant	Skeleton leaf goldeneye	Viguiera stenoloba	Fully green	
6/28/2024	Garden	14	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
